Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1143,29,H1NE07654,334.4,70.8,6.077,5.65,59.19,77.71,1535,32,0,3429,01,N11
1144,29,H1NE07658,332.1,70.6,6.069,5.615,59.14,77.46,278,32,0,3432,01,N05
1145,29,H1NE07592,333.3,70.7,6.061,5.646,59.03,77.83,1335,32,0,3435,01,N11
1146,29,H1NE07659,332.2,70.6,6.052,5.612,59.19,77.73,183,32,0,3438,01,N05
1147,29,H1NE07637,334.2,70.8,6.074,5.647,59.18,77.76,1394,32,0,3441,01,N11
1148,29,H1NE07641,332.6,70.7,6.032,5.609,59.31,77.98,118,32,0,3444,01,N08
1149,29,H1NE07656,334.5,70.9,6.081,5.653,59.17,77.63,1665,32,0,3447,01,N10
1150,29,H1NE07616,332,70.7,6.053,5.615,59.14,77.63,275,32,0,3450,01,N05
1151,29,H1NE07638,332.3,70.9,6.065,5.658,58.74,77.27,1862,32,0,3453,01,N10
1152,29,H1NE07657,334.5,70.8,6.073,5.647,59.22,77.76,1398,32,0,3456,01,N10
1153,29,H1NE07626,332.1,70.7,6.047,5.607,59.23,77.66,75,32,0,3459,01,N08
1154,29,H1NE07629,335.1,70.9,6.074,5.649,59.31,77.83,1494,32,0,3462,01,N10
1155,29,H1NE07644,332.3,70.7,6.044,5.61,59.24,77.72,139,32,0,3465,01,N05
1156,29,H1NE07639,333.8,70.8,6.073,5.638,59.2,77.58,991,32,0,3468,01,N03
1157,29,H1NE07599,333.5,70.7,6.079,5.643,59.1,77.56,1177,32,0,3471,01,N10
1158,29,H1NE07621,334.1,70.8,6.071,5.65,59.13,77.74,1533,32,0,3474,01,N10
1159,29,H1NE07609,332.5,70.7,6.06,5.613,59.25,77.61,216,32,0,3477,01,N05
1160,29,GZNE29655,332.8,70.7,6.075,5.623,59.18,77.48,604,32,0,3480,01,N05
1161,30,H1NE07556,330.7,70.7,6.086,5.641,58.63,76.89,1075,33,0,3483,03,N58
1162,30,H1NE07532,333.5,70.8,6.054,5.618,59.36,77.85,416,33,0,3486,03,N57
